cemu_hash,w,h,fmt,texconv_fmt,ngrp_file
fa5dfd9e,256,256,0032,BC2_UNORM,tex1_128x128_3DE3702911BDA21C_13_mip0.dds
b55068c4,256,256,0032,BC2_UNORM,tex1_128x128_81B7442B8E9FF01A_13_mip0.dds
15fa620e,64,64,0031,BC1_UNORM,tex1_64x64_89A03A6816BE7518_12_mip0.dds
55850e20,128,128,0032,BC2_UNORM,tex1_128x128_BF6B910A8F98EE19_13_mip0.dds
e67c6725,64,64,0031,BC1_UNORM,tex1_64x64_9D523A506EE933B3_12_mip0.dds
ba577977,64,64,0031,BC1_UNORM,tex1_64x64_07517D77AF4B8D4F_12_mip0.dds
f5d2e6ae,64,128,0032,BC2_UNORM,tex1_32x64_7579056E19AE0B8B_13_mip0.dds
a713e11c,64,128,0032,BC2_UNORM,tex1_32x64_1222E24F1DDA2144_13_mip0.dds
08fc9fb6,64,64,0032,BC2_UNORM,tex1_32x32_EE6766CA695E0A0D_13_mip0.dds
7af3bae5,64,64,0032,BC2_UNORM,tex1_32x32_9D0EEBAF79012A5F_13_mip0.dds
2f74102d,256,256,0032,BC2_UNORM,tex1_128x128_EC9F32D9BA04E4D8_13_mip0.dds
89d28833,128,128,0032,BC2_UNORM,tex1_64x64_7AFAB9E4153716C2_13_mip0.dds
61e7d3df,128,128,0032,BC2_UNORM,tex1_64x64_E21819C091CA8270_13_mip0.dds
5d04170e,64,64,0032,BC2_UNORM,tex1_32x32_228E924DFE758647_13_mip0.dds
a08ed6e1,128,128,0032,BC2_UNORM,tex1_64x64_9E23060C434DB897_13_mip0.dds
8ffbbbfe,512,256,0031,BC1_UNORM,tex1_256x128_4FC731E67A1C052D_12_mip0.dds
4509e25d,32,32,0031,BC1_UNORM,tex1_16x16_E0AD4374866D5A4A_12_mip0.dds
a78e0e45,256,256,0031,BC1_UNORM,tex1_128x128_EF0B897E620D7CC3_12_mip0.dds
4eab4376,256,128,0031,BC1_UNORM,tex1_128x64_F2E3EDC1EC8219E3_12_mip0.dds
32cc1b8d,128,128,0031,BC1_UNORM,tex1_64x64_F91060A180A2D74A_12_mip0.dds
85268875,128,128,0031,BC1_UNORM,tex1_64x64_07942E8BA3405A14_12_mip0.dds
dd96406d,128,64,0031,BC1_UNORM,tex1_64x32_3E9A5ED38F182EBB_12_mip0.dds
b4b73e41,256,256,0031,BC1_UNORM,tex1_128x128_26C18E37EFFDB7F7_13_mip0.dds
aff40edc,256,256,0032,BC2_UNORM,tex1_128x128_BE68EB3365C3E460_13_mip0.dds
3d900e82,128,128,0032,BC2_UNORM,tex1_64x64_32745300744C148D_13_mip0.dds
b2db87b9,128,128,0032,BC2_UNORM,tex1_64x64_6D784D6110B84F3C_13_mip0.dds
e676651a,128,128,0032,BC2_UNORM,tex1_64x64_15A87C903B5D179D_13_mip0.dds
314097bf,128,128,0032,BC2_UNORM,tex1_64x64_EFC93D7CDF7F0F16_13_mip0.dds
e397e6a6,128,128,0032,BC2_UNORM,tex1_64x64_A89A5A5297C30B86_13_mip0.dds
